Capabilties,clean_text
Ability to select a code violation,ability select code violation
Ability to complete checklist,ability complete checklist
Abilty to print a permit card,abilty print permit card
Ability to pay for re-inspection fee,ability pay re inspection fee
Ability to print grade card,ability print grade card
Ability to update risk assessment,ability update risk assessment
Abilty to create multiple inspection cycles for a single license,abilty create multiple inspection cycle single license
Ability to affect license process from an inspection,ability affect license process inspection
Ability to manage child / parent license relationships,ability manage child parent license relationship
Ability to validate occupational license,ability validate occupational license
Ability to randomize inspection schedule,ability randomize inspection schedule
Ability to create grading scale,ability create grade scale
Ability to notify public of inspections,ability notify public inspection
Ability to generate grade card,ability generate grade card
Ability to notify public of grades,ability notify public grade
Ability to find objects at end of inspection lifecycle,ability find object end inspection lifecycle
Ability to receive inspection cycle notification,ability receive inspection cycle notification
Ability to add supporting photo or video evidence to an Inspection,ability add support photo video evidence inspection
Ability to view a list of related inspections to a parcel or address,ability view list related inspection parcel address
Ability to notify the complainant and respondent that a complaint has been received automatically,ability notify complainant respondent complaint receive automatically
Ability to track the history of a complaint,ability track history complaint
Ability to see a list of all complaints filed by a complainant,ability see list complaint file complainant
Ability to send notification to an inspector linked to an inspection,ability send notification inspector link inspection
"Ability to store test results, location, and test version for citizen applicants",ability store test result location test version citizen applicant
Ability to assign multiple inspectors to an inspection simulatenously,ability assign multiple inspector inspection simulatenously
Ability to manage linked inspections and complaints through cases,ability manage link inspection complaint case
Ability to assign a user to a case,ability assign user case
Ability to rescind or add new actions that need to be taken against a violation,ability rescind add new action need take violation
Ability to schedule hearings or settlement conferences for a group or type of code enforcement case,ability schedule hearing settlement conference group type code enforcement case
Ability to create and track investigations and hearings,ability create track investigation hearing
Ability to create a batch rule to audit a random percentage of records,ability create batch rule audit random percentage record
Ability for an applicant or licensee to request a hearing,ability applicant licensee request hear
Ability to create a custom object,ability create custom object
Ability to automatically generate the proper violation for an inspection based on criteria on the inspection,ability automatically generate proper violation inspection base criterion inspection
Ability to generate disciplinary actions associated to a violation,ability generate disciplinary action associate violation
Ability to process a hearing request,ability process hear request
Ability to organize hearing file based on business rules.,ability organize hear file base business rule
Ability to prorate fees ,ability prorate fee
Ability to create complaints on the portal,ability create complaint portal
Ability to generate an invoice for inspections,ability generate invoice inspection
Ability to assign fees to inspection,ability assign fee inspection
Ability to apply a violation to a record,ability apply violation record
Ability to display violation codes and related details on citation,ability display violation code related detail citation
Ability to add standard comments to a citation,ability add standard comment citation
Ability to add free form comments to a citation,ability add free form comment citation
Ability to print citations in the field,ability print citation field
Ability to configure citation status based on business rules,ability configure citation status base business rule
Ability to assign citation status automatically based on business rules,ability assign citation status automatically base business rule
Ability to manually assign citation status,ability manually assign citation status
Ability to view status of a citation,ability view status citation
Ability to track history of violations on related records.,ability track history violation related record
Ability to assign multiple violations to a record,ability assign multiple violation record
"Ability to track number of violations per related object (property, applicant)",ability track number violation per related object property applicant
Abilty to assign fees to a citation based on business rules,abilty assign fees citation base business rule
Ability to define escalation rules for failure to pay fines,ability define escalation rule failure pay fine
Ability to integrate with hearing process,ability integrate hearing process
Ability to print violations,ability print violation
Ability to print warnings,ability print warning
Ability to apply a lien to a code enforcement case,ability apply lien code enforcement case
Ability to apply a citation to a complaint,ability apply citation complaint
"Ability to render services (such as inspections, citations, etc.) based on issues initiated by the CRM system and interfaced into the current applications used.",ability render service such inspection citation etc base issue initiate crm system interface current application use
Ability to review outstanding Service Requests,ability review outstanding service request
Ability to view a GIS map ,ability view gis map
Ability to update close (change Status) a Service Requests,ability update close change status service request
Ability to view the location of a permit on a map,ability view location permit map
Ability to view outstanding Service Requests,ability view outstanding service request
Ability to change the owner on a Service Requests,ability change owner service request
Ability to view the location of a license on a map,ability view location license map
Ability to view the location of a parcel on a map,ability view location parcel map
Ability to view the location of a equipment on a map,ability view location equipment map
Ability to view the location of a complaint on a map,ability view location complaint map
Ability to view the location of a inspection on a map,ability view location inspection map
Ability to view the location of an Application on a map,ability view location application map
Ability to enable and disable items being displayed on the map,ability enable disable item display map
Ability to email the Citizen when a Service Request has been completed,ability email citizen service request complete
Ability to view external ArcGIS layers on the map,ability view external arcgis layer map
Ability to view the legend for items on the map,ability view legend item map
Ability to edit GIS records from a map,ability edit gis records map
Ability to draw polygons on a map,ability draw polygon map
Ability to select a list view to filter items shown on the map,ability select list view filter item show map
Ability to measure distances on a map,ability measure distance map
Ability to add new Checklists with Name and Title,ability add new checklists name title
Ability to measure areas on a map,ability measure area map
Ability to print a view on a map,ability print view map
Ability to generate Checklist Dynamically based on Checklist Questions,ability generate checklist dynamically base checklist question
Ability to get a route from multiple points on a map,ability get route multiple point map
Ability to search for records on a layer on a map by a specified area,ability search record layer map specify area
Ability to search for records on a layer on a map by a field on that record,ability search record layer map field record
Ability to zoom to and track your location on a map in real time,ability zoom track location map real time
Ability to activate and deactivate a Checklist ,ability activate deactivate checklist
Ability to view a working progress Checklist (Status = Draft),ability view work progress checklist status draft
Ability to group Questions together.,ability group question together
Ability to create one or multiple Checklist Versions,ability create one multiple checklist version
Ability to call sets of code (classes) in a specific order of execution (Apex Trigger Framework),ability call set code class specific order execution apex trigger framework
"Ability to use local custom triggers, Clariti managed triggers, and Dynamic Rules Engine (DRE) (Apex Trigger Framework) ",ability use local custom trigger clariti manage trigger dynamic rule engine dre apex trigger framework
Ability to view ArcGIS layers hosted in ArcGIS Server on a map,ability view arcgis layer host arcgis server map
Ability to view ArcGIS layers hosted in ArcGIS Online on a map,ability view arcgis layer host arcgis online map
Ability to zoom back to the default view extent in a map,ability zoom back default view extent map
Ability to search on a map by vicinity to a point or record,ability search map vicinity point record
Ability to zoom into and out of a map,ability zoom map
Ability to create one of multiple Sections linked to a CheckLists (Name and Description),ability create one multiple section link checklist name description
Ability to define if the sequence number is Permanent or Temporary,ability define sequence number permanent temporary
Ability to view OGC layers on a map,ability view ogc layer map
Ability to click on an record on a map and display record details,ability click record map display record detail
Ability to view | edit | delete all the Sections within a CheckList,ability view edit delete section within checklist
Ability to order CheckLists Sections,ability order checklist section
Ability to Save Checklist Sections Order,ability save checklist section order
Ability Manage CheckList Questions,ability manage checklist question
Ability to view CheckList Question Lists,ability view checklist question list
Ability to search for a CheckList Question List ,ability search checklist question list
Ability to Select the number of Questions to display on the Question List (All | 25 | 50 | 75 |100),ability select number question display question list all 25 50 75 100
Ability to define the events that trigger the creation of a sequence number ,ability define event trigger creation sequence number
"Ability to sort CheckList Question List By : Question Title, Body, Type Name, ",ability sort checklist question list question title body type name
Ability to navigate through the CheckList Questions,ability navigate checklist question
Ability to create new inspections from a parcel on the map,ability create new inspection parcel map
Ability to create new permits from a parcel on the map,ability create new permit parcel map
Ability to create new applications from a parcel on the map,ability create new application parcel map
Ability to create new licenses from a parcel on the map,ability create new license parcel map
Ability to create new complaints from a parcel on the map,ability create new complaint parcel map
Ability to determine the geolocation in degrees of a spot on the map,ability determine geolocation degree spot map
"Ability to manage in one location all records child records associated to a Parent Object (Example: Inspection for a Permit, Reviews for a Permit)",ability manage one location record child record associate parent object example inspection permit review permit
Ability to search for child Record within the Record Manage List ,ability search child record within record manage list
Ability to clone a record,ability clone record
Ability to change field values when cloning a record,ability change field value clone record
Ability to reset a sequence number every calendar year ,ability reset sequence number every calendar year
Ability to specify the next number in the sequence when generating the sequence number ,ability specify next number sequence generate sequence number
Ability show the list of Question Types ,ability show list question type
Ability to search for a Question Type on the CheckList Question Type List,ability search question type checklist question type list
Ability to sort Question Type List by : Type Name | Type | Default Value,ability sort question type list type name type default value
Ability to lookup objects,ability lookup object
"Ability to place an Alert on a Permit and (optionally) share the Alert with related Fees, Deposits, Reviews, Document Submissions, Details of Work, and Inspections",ability place alert permit optionally share alert related fee deposit review document submission detail work inspection
"Ability to place an Alert on a Parcel and (optionally) share the Alert with related Permits, Inspections, Complaints, Licenses, and Violations",ability place alert parcel optionally share alert related permit inspection complaint license violation
"Ability to place an Alert on a Complaint and (optionally) share the Alert with related Fees, Inspections, Violations and Primary Complaint",ability place alert complaint optionally share alert related fee inspection violation primary complaint
Ability to search for available Question Types while creating | editing a Question ,ability search available question type create editing question
Ability to populate Salesforce records from GIS server records,ability populate salesforce record gis server record
Ability to show all the Available Questions for Question Page,ability show available question page
Ability to create dependencies between Questions (Sub Questiion),ability create dependency question sub questiion
Ability to select the value that determines the display of a dependent Question,ability select value determine display dependent question
Ability to unlink dependency between questions,ability unlink dependency question
"Ability to link a CheckList to an Object such as Permit, Inspection, License",ability link checklist object permit inspection license
Ability to display CheckList Questions when a the Checklist button on an Object is invoked,ability display checklist question checklist button object invoke
"Ability to answer the CheckList Questions for the linked Object such as Permit, Inspection, License",ability answer checklist question link object permit inspection license
Ability to capture the answers from a CheckList and display the on related Parent Object,ability capture answer checklist display relate parent object
"Ability to place an Alert on an Address and (optionally) shared the Alert with related Permits, Land-use/Planning Applications, Complaints, Licenses, Violations, and Inspections",ability place alert address optionally share alert related permit land use planning application complaint license violation inspection
Ability to place an Alert on an Inspection,ability place alert inspection
Ability to schedule batch letters by day of week and time,ability schedule batch letter day week time
Ability to batch print automated letters at end of day,ability batch print automate letter end day
Ability to create copies of letters to many recipients,ability create copy letter many recipient
"Ability to manually request a letter for a permit, license, etc",ability manually request letter permit license etc
Ability to include barcodes into outbound letters,ability include barcodes outbound letter
Ability to place an Alert on a Land-use/Planning Application,ability place alert land use planning application
Ability to place an Alert on a Project,ability place alert project
Ability to configure Record Manage to display all child Records associated to a Parent Object,ability configure record manage display child record associate parent object
Ability to display the count of child records displays on the List,ability display count child record display list
Ability to print print duplex of batch letters,ability print duplex batch letter
Ability to display the list of child Records associated to a Parent Object,ability display list child record associate parent object
Ability to populate GIS records from Salesforce Records,ability populate gis records salesforce record
Ability to update Salesforce records from GIS server records,ability update salesforce record gis server record
Ability to update GIS records from Salesforce Records,ability update gis records salesforce record
Ability to update Salesforce fields from a formula involving GIS server records,ability update salesforce field formula involve gis server record
Ability to create multiple junction Records at once,ability create multiple junction record
Ability to create Sub Questions,ability create sub question
Ability to define the Checklist Criteria,ability define checklist criterion
Ability to use automated flow to generate CheckList Answers,ability use automate flow generate checklist answer
Ability to navigate through multiple Record Manage pages,ability navigate multiple record manage page
Ability to specify the Columns to be included in the Record Manage List,ability specify column include record manage list
Ability to select Multiple Manage Records from the list for mass editing purposes,ability select multiple manage record list mass editing purpose
Ability to do a mass update of the values for the selected records,ability mass update value select record
Ability to do Inline Editing from the list or Manage Records,ability inline editing list manage record
Ability to display list of child Records,ability display list child record
Ability to define the fields (columns) to include in the List of child Records,ability define field column include list child record
Ability to sort column in the List of Child Records,ability sort column list child record
Ability to search for records within the List of child Records,ability search record within list child record
Ability to define filters for the List of child Records,ability define filter list child record
Ability to apply filters to list of child records based on filters values,ability apply filter list child record base filter value
Ability to manage all Dynamic Rules Engine (DRE) in one Administration area,ability manage dynamic rule engine dre one administration area
Ability to configure Junction add to create a Relationship between a Parent and child object ,ability configure junction add create relationship parent child object
Ability to be notify a manager of a request to override a Hold or Lock Alert on a record,ability notify manager request override hold lock alert record
Ability to route the request to override a Hold or Lock Alert to the employees direct manager,ability route request override hold lock alert employee direct manager
Ability to pre-filter the amount of workflow rules (DRE) that are evaluated to save processing time,ability pre filter amount workflow rule dre evaluate save processing time
Ability to configure and RollUp DRE Rules to calculate values from child to Parent,ability configure rollup dre rule calculate value child parent
Ability to Activate / Deactive DRE Rules,ability activate deactive dre rule
Ability to set Effective Start Date and Effective End Date on a DRE rule,ability set effective start date effective end date dre rule
Ability to use Formula Editor to define matching evaluation for criteria Data Filters,ability use formula editor define match evaluation criterion datum filter
Ability to configure the Primary Object and Event that should trigger the DRE Rule,ability configure primary object event trigger dre rule
"Ability to configure DRE Templates with DRE General Info, Starting Object and Action, Criteria and Actions, Scope",ability configure dre template dre general info start object action criterion action scope
Ability to specify the Order in which a DRE Rule should run,ability specify order dre rule run
Ability to configure and run a Display DRE that shows a message when the a Record is being viewed,ability configure run display dre show message record view
Ability to select the Event that triggers the DRE Rule (Created | Edited | Created or Edited | Deleted | However Impacted),ability select event trigger dre rule create edit create edit delete however impact
Ability to specify the criteria that evaluates whether the Rule shall execute,ability specify criterion evaluate whether rule shall execute
"Ability to add | delete Data Filtering Criteria to the starting Object, Related Objects and Global Tables",ability add delete datum filter criterion start object related object global table
Ability to associate IFs evaluation to the Data Filters,ability associate ifs evaluation data filter
Ability to add one or multiple criteria Data Filters,ability add one multiple criterion datum filter
Ability to Activate | Deactivate a matching criteria within the DRE Criteria section on the DRE,ability activate deactivate matching criterion within dre criterion section dre
Ability to specify DRE Action Scope : Using Each | Earliest | Latest,ability specify dre action scope use early late
Ability to add | delete one or multiple Actions to be executed when the criteria on the DRE Rule is met,ability add delete one multiple action execute criterion dre rule meet
Ability to specify whether a DRE Rule runs once,ability specify whether dre rule run
Ability to specify whether a DRE Rule runs in Bulk Mode (asynchronous),ability specify whether dre rule run bulk mode asynchronous
Ability to set the DRE Action to check for duplicates,ability set dre action check duplicate
Ability to Activate | Deactivate a DRE Action,ability activate deactivate dre action
Ability to clone a DRE Rule,ability clone dre rule
Ability to reference your lists of data or value across many different records and in multiple tools,ability reference list data value across many different record multiple tool
Ability to create a DRE Rule from a DRE Template,ability create dre rule dre template
Ability to enable | disable DRE Objects (triggers),ability enable disable dre object trigger
Ability to run DRE in Batch Mode,ability run dre batch mode
Ability to enable | disable DRE Objects for DRE Display,ability enable disable dre object dre display
Ability to displays Objects use by the DRE via API Name or by Label,ability display object use dre via api name label
Ability to track DRE Events via event Log,ability track dre event via event log
"Ability to Download DRE Rules (Selected Records, New Records, Existing Records | All)",ability download dre rule select record new record exist record all
Ability to Deploy (Download) DRE Rules between Orgs,ability deploy download dre rule org
"Ability to select the DRE Rules to upload (All Active, Selected)",ability select dre rule upload all active select
Ability to review DRE Events via DRE Events Report,ability review dre event via dre event report
Ability to review DRE Rule Filters via DRE Rule Filters Report,ability review dre rule filter via dre rule filter report
Ability to review DRE Rule Results via DRE Rule Results Report,ability review dre rule result via dre rule result report
Ability to recover deleted Records  (some considerations apply),ability recover delete record some consideration apply
Ability to validate user that triggers the DRE Rule and follow the System Permissions associate the user,ability validate user trigger dre rule follow system permission associate user
Ability for emails sent to citizens to contain attachments,ability email send citizen contain attachment
Ability to provide data to DOL that is compatible with SQL Server 2016.,ability provide datum dol compatible sql server 2016
Ability to submit a Permit/License Refund Requests,ability submit permit license refund request
"Ability to submit other types of Service Requests ( Change Address Request, Information Request, FOIA Request, Cancel Application Request, Zoning Request)",ability submit type service request change address request information request foia request cancel application request zone request
"Ability to generate sequential and non-sequential unique identifiers for Licenses, Permits and so on... ",ability generate sequential non sequential unique identifier license permit on
Ability to generate a sequence number as soon as a record is created,ability generate sequence number soon record create
Ability to define different business rules based on application types,ability define different business rule base application type
Ability to change the location of an application through a map interface (future),ability change location application map interface future
Ability to search database for accounts during application process,ability search database account application process
Ability to copy and modify an existing application record,ability copy modify exist application record
Ability for applicants to indicate preferred method of contact.,ability applicant indicate preferred method contact
Ability to specify application data requirements based on business rules,ability specify application datum requirement base business rule
Ability to complete business license application online,ability complete business license application online
Ability to track details associated with a contractor,ability track detail associate contractor
Ability for customer to enter questions,ability customer enter question
Ability for customer to enter complaints,ability customer enter complaint
Ability for customer to enter compliments,ability customer enter compliment
Ability to request training from portal,ability request training portal
Ability to generate records from based on business rules and criteria,ability generate record base business rule criterion
Ability to view Service Request History,ability view service request history
Ability to submit electronic plans during the application process,ability submit electronic plan application process
Ability to direct electronic site plans to an electronic plan review solution for review,ability direct electronic site plan electronic plan review solution review
"Ability to link similar complaints based on common factors such address, parcel, or type of complaint.",ability link similar complaint base common factor address parcel type complaint
Ability to automatically create Bluebeam projects,ability automatically create bluebeam project
Ability to upload files to Bluebeam,ability upload file bluebeam
Ability to automatically invite users to active Bluebeam projects,ability automatically invite user active bluebeam project
Ability to automatically retrieve Bluebeam markup text as correction comments,ability automatically retrieve bluebeam markup text correction comment
Ability to automatically renew authenticated Bluebeam user access using OAuth 2.0,ability automatically renew authenticated bluebeam user access use oauth 20
Ability to view Bluebeam file checkin status,ability view bluebeam file checkin status
Ability to track status of permit from mobile device,ability track status permit mobile device
Ability to assign reviewers based on business rules and the type of review,ability assign reviewer base business rule type review
Ability to assign plan review workflow,ability assign plan review workflow
Ability to notify plan reviewers when a plan is in their EPR review queue,ability notify plan reviewer plan epr review queue
ability to mark up electronic plans,ability mark electronic plan
ability to select from standard comments for plan reviews,ability select standard comment plan review
ability to enter free form comments in plan review,ability enter free form comment plan review
ability to support concurrent plan reviews,ability support concurrent plan review
Ability to have multiple plan reviewers in EPR,ability multiple plan reviewer epr
Ability to have multiple statuses in plan review software,ability multiple status plan review software
Ability to cancel a plan review in the EPR,ability cancel plan review epr
Ability to view plan review status,ability view plan review status
ability to view plan review comments,ability view plan review comment
Ability to capture pertinent information for paper based plans,ability capture pertinent information paper base plan
Abilty to manage process for paper bases plans submitted,abilty manage process paper basis plan submit
Ability to track the method of plan submission,ability track method plan submission
Ability to identify plans as confidential,ability identify plan confidential
Ability to restrict public access to plans that are marked confidential,ability restrict public access plan mark confidential
Ability to submit plan review applications from mobile device,ability submit plan review application mobile device
Ability to print copies of completed applications,ability print copy complete application
Ability to assign plans to queue ,ability assign plan queue
Ability to pick plan from queue ,ability pick plan queue
Ability to generate a comment letter,ability generate comment letter
Ability to email a comment letter,ability email comment letter
Ability to add notes to an application record to document changes and decisions made by agency users,ability add note application record document change decision make agency user
Ability to submit a Permit Time Extension Requests,ability submit permit time extension request
Ability to set permit expiration based on business rules,ability set permit expiration base business rule
Ability to send notifications based on business rules,ability send notification base business rule
Ability to restrict the amount of time a partially completed application is available for completion before it is cancelled (future),ability restrict amount time partially complete application available completion cancel future
Ability to report on expired licenses,ability report expire license
Ability to print permit documents,ability print permit document
Ability to transfer an application to a different parcel,ability transfer application different parcel
Ability to automate the generation of letters based on business rules,ability automate generation letter base business rule
Ability for Managers to be able to view their team ,ability manager able view team
Ability for Managers to be able view their team's inspections,ability manager able view team inspection
Ability to view permit attributes on a map,ability view permit attribute map
Ability to click on points on a map to see permits in the area,ability click points map see permits area
Ability to apply inspections to permit based on business rules,ability apply inspection permit base business rule
Ability to attach documents and pictures to a record,ability attach document picture record
Ability to assign inspections automatically based on business rules,ability assign inspection automatically base business rule
Ability to manage access to inspection records based on business rules,ability manage access inspection record base business rule
Ability to view inspection details from a map,ability view inspection detail map
Ability to view checklist of inspection requirements,ability view checklist inspection requirement
Ability to capture specific information on inspections based on business rules,ability capture specific information inspection base business rule
Ability to create inspection reports from the field,ability create inspection report field
Ability to track history of inspections and related activity,ability track history inspection relate activity
Ability to search inspections,ability search inspection
Ability to report on activities,ability report activity
Ability to send automated email to related contacts when an inspection has been scheduled,ability send automate email relate contact inspection schedule
Ability to set pass or fail on checklist items,ability set pass fail checklist item
Ability to view inspection checklists,ability view inspection checklist
Ability to associate fees and payments with inspections,ability associate fee payment inspection
Ability to attach a picture to a citation,ability attach picture citation
Ability to attach documents to a citation,ability attach document citation
Ability to attach electronic signature to a citation,ability attach electronic signature citation
Ability to view citations on a map,ability view citation map
Ability to define public-accesible information,ability define public accesible information
Ability to review an inspection queue,ability review inspection queue
Ability to restrict a picklist selection based on a record type,ability restrict picklist selection base record type
Ability to create dynamic letters based on the existence of attachments and images,ability create dynamic letter base existence attachment image
Ability to create fees according to business rules,ability create fee accord business rule
Ability to configure fees based on business rules,ability configure fee base business rule
Ability to calculate total fees or payment due,ability calculate total fee payment due
Ability to identify required financial guarantee instruments per business rules,ability identify require financial guarantee instrument per business rule
Ability to add city banding in outbound letters,ability add city band outbound letter
Ability to create reusable letter templates,ability create reusable letter template
Ability to auto generate outbound letters,ability auto generate outbound letter
Ability to format address of letters into windowed envelopes,ability format address letter windowe envelope
Ability to create editable letter files,ability create editable letter file
Ability to manage CheckList in a central place (Adminitration Area) ,ability manage checklist central place adminitration area
"Ability to add, view and edit CheckLists",ability add view edit checklist
Ability to email letters to outbound recipients?,ability email letter outbound recipient
"Ability to create | edit | delete a New CheckList Question (Question Title, Question Body, Question Tip | Question Type)",ability create edit delete new checklist question title question body question tip question type
Ability to create an alpha-numeric numbering system for different records in the same table that follow different formatting guidelines. ,ability create alpha numeric numbering system different record table follow different formatting guideline
"Ability to Manage Question Types (Pass/Fail/ Multiple Choices, Picklist, Dates, Text, Numerical, Text Data)",ability manage question type pass fail multiple choice picklist date text numerical text datum
Ability to define the format for the Sequence Numbers,ability define format sequence number
Ability to setup Predefined Alerts to form a library of alerts that can be used in the system,ability setup predefine alert form library alert use system
"Ability to place an Alert on a License and (optionally) share the Alert with related Fees, Document Submissions, and Inspections ",ability place alert license optionally share alert related fee document submission inspection
Ability to specify Notice Alerts to provide users with informative text while managing records,ability specify notice alert provide user informative text managing record
"Ability to place an Alert on a Citizen and (optionally) share the Alert with related Permits, Licenses and Land-use/Planning Applications",ability place alert citizen optionally share alert related permit license land use planning application
Ability to specify Hold Alerts to provide users with informative text and prevent process continuation while managing records,ability specify hold alert provide user informative text prevent process continuation managing record
Ability to create pdf letters,ability create pdf letter
Ability to merge system data into letters templates to form new letter documents,ability merge system data letter template form new letter document
Ability to schedule batch letters by day of month and time,ability schedule batch letter day month time
Ability to list related information in a letter,ability list related information letter
Ability to specify Lock Alerts to provide users with informative text and prevent all changes while managing records,ability specify lock alert provide user informative text prevent change managing record
Ability to view and temporarily approve requests to override a Hold or Lock Alert on a record,ability view temporarily approve request override hold lock alert record
Ability to request to temporarily override a Hold and Lock Alert on a record,ability request temporarily override hold lock alert record
Ability to release Alerts from a record when no longer required,ability release alert record long require
Ability to automate applying and releasing Alerts based on business rules,ability automate apply release alert base business rule
Ability to define a Parent record and a List of child records to be added,ability define parent record list child record add
Ability to configured questions as Required or Optional,ability configure question require optional
